DD;CC;LLLL;Localidade;Field_004;Field_005;Field_006;Field_007;Field_008;Field_009;Field_010;Field_011;Field_012;Field_013;CP4;CP3;CPALF
16;1;5173;Arcos de Valdevez     ;100116;Largo   ;da ;             ;   ;Lapa                      ;             ;                      ;;                       ;4970;434;ARCOS DE VALDEVEZ
16;1;5173;Arcos de Valdevez     ;10116;Rua     ;   ;General      ;   ;Amílcar Mota              ;             ;                      ;;                       ;4970;459;ARCOS DE VALDEVEZ
16;1;5173;Arcos de Valdevez     ;1106050000;Rua     ;   ;             ;   ;A                         ;             ;                      ;;                       ;4970;600;ARCOS DE VALDEVEZ
16;1;5173;Arcos de Valdevez     ;1106060000;Rua     ;   ;             ;   ;B                         ;             ;                      ;;                       ;4970;600;ARCOS DE VALDEVEZ
16;1;5173;Arcos de Valdevez     ;1106070000;Rua     ;   ;             ;   ;C                         ;             ;                      ;;                       ;4970;600;ARCOS DE VALDEVEZ
16;1;5173;Arcos de Valdevez     ;1106080000;Rua     ;   ;             ;   ;D                         ;Vila Fonche  ;                      ;;                       ;4970;600;ARCOS DE VALDEVEZ
16;1;5173;Arcos de Valdevez     ;1106090000;Rua     ;   ;             ;   ;E                         ;             ;                      ;;                       ;4970;600;ARCOS DE VALDEVEZ
16;1;5173;Arcos de Valdevez     ;1106100000;Rua     ;   ;             ;   ;F                         ;             ;                      ;;                       ;4970;600;ARCOS DE VALDEVEZ
16;1;5173;Arcos de Valdevez     ;1106110000;Rua     ;   ;             ;   ;G                         ;             ;                      ;;                       ;4970;600;ARCOS DE VALDEVEZ
16;1;5173;Arcos de Valdevez     ;1192290000;Rua     ;   ;Doutor       ;   ;Rui Castilho (Professor)  ;             ;                      ;;                       ;4970;154;ARCOS DE VALDEVEZ
16;1;5173;Arcos de Valdevez     ;120116;Praça   ;   ;             ;   ;Municipal                 ;             ;                      ;;                       ;4970;441;ARCOS DE VALDEVEZ
16;1;5173;Arcos de Valdevez     ;130116;Rua     ;   ;General      ;   ;Norton de Matos           ;             ;                      ;;LOJA CTT ARCOS DE VALDE;4970;999;ARCOS DE VALDEVEZ
16;1;5173;Arcos de Valdevez     ;130116;Rua     ;   ;General      ;   ;Norton de Matos           ;             ;                      ;;                       ;4970;460;ARCOS DE VALDEVEZ
16;1;5173;Arcos de Valdevez     ;140116;Rua     ;   ;             ;   ;Nunes de Azevedo          ;             ;                      ;;                       ;4970;461;ARCOS DE VALDEVEZ
16;1;5173;Arcos de Valdevez     ;1442740000;Travessa;   ;Doutor       ;   ;Vaz Guedes                ;             ;                      ;;                       ;4970;604;ARCOS DE VALDEVEZ
16;1;5173;Arcos de Valdevez     ;1442750000;Rua     ;dos;             ;   ;Milagres                  ;             ;                      ;;                       ;4970;592;ARCOS DE VALDEVEZ
16;1;5173;Arcos de Valdevez     ;150116;Rua     ;   ;Padre        ;   ;Manuel Himalaia           ;             ;                      ;;                       ;4970;462;ARCOS DE VALDEVEZ
16;1;5173;Arcos de Valdevez     ;1527270000;Rua     ;   ;Professor Dou;   ;Engenheiro Eugénio Castro ;Faquelo      ;                      ;;                       ;4970;614;ARCOS DE VALDEVEZ
16;1;5173;Arcos de Valdevez     ;1527280000;Rua     ;   ;Doutor       ;   ;Américo de Sequeira       ;Valverde     ;Impares de 73 a 73    ;;                       ;4970;621;ARCOS DE VALDEVEZ
16;1;5173;Arcos de Valdevez     ;1527280000;Rua     ;   ;Doutor       ;   ;Américo de Sequeira       ;Valverde     ;LT 61                 ;;                       ;4970;621;ARCOS DE VALDEVEZ
